"_time",102,108,109,110,112,114,140,141A,142B,143,149B,150,150A,151,155D,158,164,164A,166,168,168A,200E,200SW,200WE,202,203,205,206,214,242,246,250,250B,250C,253,255,257,258,260,261A,268,270,274,278,300,300SE,302,302A,303,304,304B,304D,304J,305,306,308,319,321,323,325,325M,341,342,345,"345?",345A,345B,345C,345D,345N,345S,346,348,350,351,352,354,360,366a,402,403,404,404L,409,409A,411,412US,441,442,445,452,C200WW,C300WW,C400NE,C400WW,MallStage,ODNorth,ODSE,ODSW,P100W
"2019-08-19T13:00:00.000-0700",61,29,2,40,37,19,5,60,19,21,39,17,16,5,7,25,34,21,6,9,12,419,309,111,324,275,87,17,31,115,177,128,174,216,17,21,228,316,87,300,124,121,122,115,14,409,18,9,37,36,44,24,17,33,20,32,10,13,7,13,19,6,62,43,6,22,2,57,28,124,61,18,22,43,70,51,95,13,3,19,166,27,10,21,19,48,34,44,36,3,7,40,28,7,29,364,527,357,131,202
"2019-08-19T14:00:00.000-0700",64,25,2,31,22,19,7,45,28,23,42,14,13,3,7,30,31,19,6,12,16,203,243,63,261,145,44,23,74,71,103,81,106,163,9,12,77,161,34,179,57,41,30,54,16,187,10,3,10,28,34,18,15,12,15,37,9,7,6,6,9,1,27,45,15,11,3,6,52,120,52,2,11,22,87,24,16,6,3,22,150,40,7,17,32,50,34,32,24,2,6,33,17,3,13,327,339,193,108,106
"2019-08-19T15:00:00.000-0700",61,24,3,27,25,19,15,71,32,36,47,19,25,3,6,31,32,25,10,6,5,208,214,74,278,135,33,28,99,74,101,64,110,183,6,15,73,164,24,165,58,25,36,54,4,225,13,2,19,18,35,19,12,20,19,35,6,11,11,6,13,2,31,47,13,12,6,8,74,99,60,3,24,44,71,32,8,3,2,21,127,49,10,24,27,39,22,40,23,1,14,34,18,2,18,263,425,195,126,118
"2019-08-19T16:00:00.000-0700",56,23,1,28,20,14,6,39,15,16,24,12,7,1,1,18,15,9,4,3,4,147,183,67,286,124,39,19,29,48,72,63,103,108,6,7,50,125,27,155,44,18,27,42,3,210,7,1,8,18,51,18,5,9,19,34,11,5,9,8,12,1,47,54,7,21,5,9,27,118,45,1,10,14,108,21,5,1,0,10,146,38,5,11,13,32,18,36,35,1,9,26,16,6,10,339,360,253,155,110
"2019-08-19T17:00:00.000-0700",48,16,3,20,18,12,1,13,5,7,7,2,3,1,2,4,12,9,3,2,3,145,147,36,185,124,26,12,6,63,88,47,107,75,2,2,35,113,23,118,43,10,21,30,2,146,6,1,9,16,28,7,5,9,10,29,3,2,9,5,10,0,28,5,10,3,2,7,4,18,8,0,11,12,52,8,2,2,3,20,92,42,6,36,6,25,15,15,28,0,1,19,6,0,5,274,276,169,122,96
"2019-08-19T18:00:00.000-0700",22,6,0,8,7,6,0,3,1,4,2,3,3,0,0,5,7,5,1,2,1,104,79,22,80,45,16,5,3,22,30,21,46,28,3,1,34,68,19,55,15,12,19,17,4,77,1,0,5,5,8,3,0,2,3,9,2,1,8,3,1,0,19,1,1,2,1,5,0,2,2,0,0,2,10,8,1,1,1,10,52,35,7,32,2,24,6,9,12,0,5,5,4,0,2,105,111,108,72,51
"2019-08-19T19:00:00.000-0700",12,4,0,8,6,2,0,3,0,4,0,0,1,0,2,2,1,2,1,2,4,64,53,13,60,33,9,6,1,15,23,12,35,13,3,0,12,36,18,34,11,6,7,10,2,51,2,0,2,6,7,2,0,2,4,10,0,0,7,3,2,1,16,1,2,1,0,2,4,3,4,1,2,5,12,3,2,2,1,6,30,10,2,15,0,5,7,2,6,0,1,6,6,1,1,76,80,76,43,19
"2019-08-19T20:00:00.000-0700",8,5,0,8,5,3,0,0,0,0,0,1,1,0,1,0,2,1,1,0,0,34,32,6,25,18,5,5,2,6,9,8,18,8,0,0,5,10,8,23,5,3,2,3,3,14,1,0,0,6,4,3,1,2,4,3,2,1,6,1,10,0,9,0,0,3,0,2,0,0,0,0,2,4,6,5,2,0,0,0,14,2,0,2,0,1,0,2,3,2,2,7,10,0,1,54,56,51,30,14
"2019-08-19T21:00:00.000-0700",9,3,1,3,5,1,0,0,0,3,4,1,1,1,3,1,5,5,1,0,1,13,18,1,17,4,1,5,1,0,2,9,12,10,0,0,3,6,2,10,10,3,3,2,4,9,3,0,2,14,2,0,3,3,6,4,1,2,1,1,7,0,6,0,0,0,0,2,2,1,2,0,1,2,1,2,1,2,0,0,10,0,0,0,0,1,1,2,5,0,0,8,13,0,0,45,27,35,23,3
"2019-08-19T22:00:00.000-0700",0,0,0,0,0,0,0,1,1,4,2,1,2,1,4,3,1,3,0,3,2,3,19,2,5,0,2,1,0,1,1,1,3,4,0,0,0,1,0,4,2,0,1,0,1,7,2,0,0,0,0,0,0,1,2,1,0,0,2,0,1,1,2,0,1,0,0,1,1,2,0,1,0,2,2,1,2,2,1,0,6,1,0,1,0,0,0,1,1,0,2,0,1,0,0,23,14,17,12,3
