"_time",102,108,109,110,112,114,140,141A,142B,143,149B,150,150A,151,155B,155D,158,164,164A,166,168,168A,200E,200SW,200WE,202,203,205,206,214,242,246,250,250B,250C,253,255,257,258,260,261A,268,270,274,278,300,300SE,302,302A,303,304,304B,304D,304J,305,306,308,319,321,323,325,325M,341,342,345,"345?",345A,345B,345C,345D,345N,345S,346,348,350,351,352,354,360,364,366a,402,403,404,404L,409,411,412US,441,442,445,452,C200WW,C300WW,C400NE,MallStage,ODNorth,ODSE,ODSW,P100W
"2020-08-03T13:00:00.000-0700",16,18,0,12,15,3,0,3,2,5,9,1,2,3,2,4,11,9,10,4,2,6,8,11,3,25,9,2,8,4,8,5,7,9,9,0,0,2,3,0,9,9,3,0,1,5,4,3,4,1,15,5,7,8,2,7,11,2,4,0,5,5,1,2,0,1,0,0,2,1,1,1,2,3,1,2,2,1,2,0,0,2,6,2,2,1,2,2,3,3,1,2,11,8,0,13,38,21,9,7
"2020-08-03T14:00:00.000-0700",13,9,2,10,10,3,0,3,2,3,8,2,3,5,2,3,11,9,10,4,4,4,8,9,5,23,2,1,5,4,1,2,2,1,3,0,0,4,3,1,14,8,5,1,1,5,4,5,3,1,15,7,12,8,2,6,10,2,5,1,5,9,0,0,0,1,1,1,2,1,1,1,0,1,0,5,1,2,1,2,1,0,5,0,2,2,3,1,2,1,1,0,7,13,0,8,35,6,2,3
"2020-08-03T15:00:00.000-0700",14,11,1,9,10,2,2,2,2,5,11,0,3,6,0,4,13,10,10,4,5,3,5,5,1,24,2,0,8,4,1,3,3,1,3,0,0,3,2,1,6,9,2,0,1,5,2,3,3,2,12,5,4,7,1,5,11,1,4,0,5,6,1,1,1,1,1,1,2,1,1,0,1,2,1,3,1,1,1,0,0,0,2,0,2,0,0,0,2,0,0,1,9,10,0,7,21,6,1,4
"2020-08-03T16:00:00.000-0700",8,10,0,10,11,3,0,1,0,2,6,1,3,4,1,2,7,8,5,2,4,3,4,5,1,18,4,0,7,4,1,4,3,4,5,0,0,0,3,0,7,10,3,1,1,4,2,1,2,1,7,3,2,2,2,5,8,1,3,1,3,8,0,2,0,1,0,0,3,1,0,0,0,1,2,2,0,0,2,1,0,0,5,0,2,2,0,0,1,0,0,0,13,7,0,14,43,15,8,6
"2020-08-03T17:00:00.000-0700",7,6,1,2,6,3,0,1,0,5,6,1,0,4,1,3,7,7,7,4,4,2,1,10,0,14,5,0,3,2,2,2,2,3,1,0,0,0,1,1,11,4,1,0,0,0,6,0,0,0,8,1,3,3,0,5,7,1,2,0,3,9,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,4,1,1,0,2,3,1,3,0,0,9,7,0,33,40,23,15,7
"2020-08-03T18:00:00.000-0700",1,0,0,1,1,1,0,1,0,1,3,1,1,1,0,0,5,4,3,3,3,3,0,18,0,7,2,2,0,1,1,0,2,5,3,0,0,2,0,0,6,4,3,0,0,1,5,1,0,1,1,2,1,1,1,1,2,2,2,1,2,1,1,3,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,8,0,0,1,0,0,1,3,0,0,1,1,0,31,32,37,18,7
"2020-08-03T19:00:00.000-0700",1,1,0,0,1,0,0,1,0,2,2,0,1,0,1,1,2,2,2,0,1,1,1,24,1,4,8,1,1,1,1,0,4,6,3,0,0,1,1,0,4,1,1,1,0,0,0,0,0,0,1,2,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,15,0,0,0,0,0,0,6,0,0,1,0,0,46,25,46,29,5
"2020-08-03T20:00:00.000-0700",0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,2,2,1,0,0,0,1,17,0,3,5,1,0,1,1,0,5,3,1,0,0,0,0,0,9,3,0,0,0,0,6,0,0,1,0,1,0,0,0,0,2,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,1,7,0,0,1,0,0,30,23,31,17,6
"2020-08-03T21:00:00.000-0700",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,2,1,0,1,0,2,5,3,1,0,0,0,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,1,0,1,0,0,0,0,0,0,19,15,17,9,2
"2020-08-03T22:00:00.000-0700",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,9,3,1,0
